ref;value;Field1
BT1;BATTERY;P223-ND
C1;100uF;493-2226-2-ND
C2;100uF;493-2226-2-ND
C3;DNP;
C4;10uF;399-11082-1-ND
C5;0.1uF;399-11163-1-ND
C6;0.033uF;478-3769-1-ND
C7;0.033uF;478-3769-1-ND
C8;0.033uF;478-3769-1-ND
C9;0.1uF;399-11163-1-ND
C10;0.1uF;399-11163-1-ND
C11;0.1uF;399-11163-1-ND
C12;0.022uF;490-8308-1-ND
C13;0.022uF;490-8308-1-ND
C14;0.022uF;490-8308-1-ND
C15;0.022uF;490-8308-1-ND
C16;0.022uF;490-8308-1-ND
C17;0.022uF;490-8308-1-ND
C18;0.1uF;399-11163-1-ND
C19;0.1uF;399-11163-1-ND
C20;0.1uF;399-11163-1-ND
C21;0.1uF;399-11163-1-ND
C22;0.1uF;399-11163-1-ND
C23;0.1uF;399-11163-1-ND
C24;0.1uF;399-11163-1-ND
C25;0.1uF;399-11163-1-ND
C26;0.1uF;399-11163-1-ND
C27;0.1uF;399-11163-1-ND
C28;10uF;399-11082-1-ND
C29;100uF;493-2226-2-ND
C30;1uF;399-8147-1-ND
C31;1uF;399-8147-1-ND
C32;10uF;399-11082-1-ND
C33;1uF;399-8147-1-ND
C34;0.1uF;399-11163-1-ND
C35;0.1uF;399-11163-1-ND
C36;0.022uF;490-8308-1-ND
C37;1uF;399-8147-1-ND
C38;0.1uF;399-11163-1-ND
C39;47pF;399-9083-1-ND
D1;LED Green;160-1218-1-ND
D2;LED Green;160-1218-1-ND
D3;MB3045S-E3/8W;MB3045S-E3/8WGICT-ND
D4;BI_LED;VLMV3100-GS08CT-ND
D5;BI_LED;VLMV3100-GS08CT-ND
D6;BI_LED;VLMV3100-GS08CT-ND
D7;BI_LED;VLMV3100-GS08CT-ND
D8;BI_LED;VLMV3100-GS08CT-ND
D9;BI_LED;VLMV3100-GS08CT-ND
D10;LED Green;160-1218-1-ND
D11;BI_LED;VLMV3100-GS08CT-ND
F1;4A 5V;F5786CT-ND
F2;4A 5V;F5786CT-ND
F3;4A 5V;F5786CT-ND
F4;4A 5V;F5786CT-ND
F5;4A 5V ;F5786CT-ND
F6;4A 5V;F5786CT-ND
F7;4A 5V;F5786CT-ND
F8;4A 5V;F5786CT-ND
F9;1.85A 24V;F2871CT-ND
F10;1.1A 5V;F3366CT-ND
F11;1.1A 24V;F2868CT-ND
F12;2.6A 5V;F4242CT-ND
F13;1.1A 24V;F2868CT-ND
F14;1.1A 5V;F3366CT-ND
F15;1.1A 5V;F3366CT-ND
F16;1.85A 24V;F2871CT-ND
F17;1.1A 5V;F3366CT-ND
F18;1.6A 24V;F2870CT-ND
F19;1.6A 24V;F2870CT-ND
F20;1.1A 24V;F2868CT-ND
F21;1.6A 24V;F2870CT-ND
F22;1.1A 24V;F2868CT-ND
F23;1.6A 24V;F2870CT-ND
F24;1.1A 24V;F2868CT-ND
F25;1.1A 24V;F2868CT-ND
F26;1.1A 24V;F2868CT-ND
F27;1.1A 24V;F2868CT-ND
F28;1.1A 5V;F3366CT-ND
F29;1.1A 5V;F3366CT-ND
F30;1.5A 5V;F3367CT-ND
F31;1.1A 24V;F2868CT-ND
F32;1.1A 24V;F2868CT-ND
F33;1.85A 24V;F2871CT-ND
J1;MEGAFIT-4SKT;WM10392-ND
J2;DF13-4;H3434-ND
J3;DF13-6;H3436-ND
J4;DF13-5;H3435-ND
J5;DF13-6;H3436-ND
J6;SSW-116-02-S-TRA;
J7;TSW-106-02-S-TRA;
J8;SSW-108-02-S-D-RA;
J9;SSW-106-02-G-D-RA;
J10;JST-PA-4;455-2645-1-ND
J11;JST-PA-2;455-2650-1-ND
J12;JST-PA-2;455-2650-1-ND
J13;DF13-4;H3434-ND
J14;JST-PA-2;455-2650-1-ND
J15;JST-PA-2;455-2650-1-ND
J16;JST-PA-2;455-2650-1-ND
J17;JST-PA-3;455-2644-1-ND
J18;JST-PA-3;455-2644-1-ND
J19;JST-PA-4;455-2645-1-ND
J20;JST-PA-4;455-2645-1-ND
J21;JST-PA-3;455-2644-1-ND
J22;JST-PA-3;455-2644-1-ND
J23;JST-PA-2;455-2650-1-ND
J24;JST-PA-2;455-2650-1-ND
J25;JST-PA-2;455-2650-1-ND
J26;JST-PA-2;455-2650-1-ND
J27;DF13-6;H3436-ND
L1;27nH;490-2628-1-ND
P1;Pad;
P2;SMA RA;A97593-ND
Q1;IRFZ44;IRFZ44STRRPBFCT-ND
Q2;IRFZ44;IRFZ44STRRPBFCT-ND
Q3;IRFZ44;IRFZ44STRRPBFCT-ND
Q4;IRFZ44;IRFZ44STRRPBFCT-ND
Q5;IRFZ44;IRFZ44STRRPBFCT-ND
Q6;IRFZ44;IRFZ44STRRPBFCT-ND
Q7;IRFZ44;IRFZ44STRRPBFCT-ND
Q8;IRFZ44;IRFZ44STRRPBFCT-ND
R1;DNP;
R2;DNP;
R3;DNP;
R4;DNP;
R5;2m;LVK25R002DERCT-ND
R6;68.1k;P68.1KDACT-ND
R7;10k;P10KBFCT-ND
R8;1.3k;P1.3KBFCT-ND
R9;2m;LVK25R002DERCT-ND
R10;75k;P75KDACT-ND
R11;10m;LVK25R010DERCT-ND
R12;100k;P100KCCT-ND
R13;150;P150DACT-ND
R14;4.42k;P4.42KCCT-ND
R15;470;P470CCT-ND
R16;100k;P100KCCT-ND
R17;510;P510FCT-ND
R18;100k;P100KCCT-ND
R19;57.6k;P57.6KDACT-ND
R20;300;P300CCT-ND
R21;47.5k;P47.5KDACT-ND
R22;66.5k;P66.5KDACT-ND
R23;300;P300CCT-ND
R24;300;P300CCT-ND
R25;47.5k;P47.5KDACT-ND
R26;66.5k;P66.5KDACT-ND
R27;300;P300CCT-ND
R28;300;P300CCT-ND
R29;57.6k;P57.6KDACT-ND
R30;57.6k;P57.6KDACT-ND
R31;300;P300CCT-ND
R32;300;P300CCT-ND
R33;4.42k;P4.42KCCT-ND
R34;4.42k;P4.42KCCT-ND
R35;4.42k;P4.42KCCT-ND
R36;1M;P1.00MCCT-ND
R37;FILTER;490-4003-1-ND
R38;FILTER;490-4003-1-ND
R39;10;RNCP0805FTD10R0CT-ND
SW1;M2022LL2W13;360-3095-ND
U1;VHE100W;102-2639-ND
U2;VQE50W;102-2627-ND
U3;74LS74;296-1079-1-ND
U4;INA139;296-26061-1-ND
U5;INA139;296-26061-1-ND
U6;INA139;296-26061-1-ND
U7;74LS74;296-1079-1-ND
U8;MIC5014;576-1233-1-ND
U9;MIC5014;576-1233-1-ND
U10;74LS74;296-1079-1-ND
U11;74LS74;296-1079-1-ND
U12;MIC5014;576-1233-1-ND
U13;MIC5014;576-1233-1-ND
U14;74LS74;296-1079-1-ND
U15;74LS74;296-1079-1-ND
U16;MCP601-SOT;MCP601T-I/OTCT-ND
U17;MCP601-SOT;MCP601T-I/OTCT-ND
U18;MCP601-SOT;MCP601T-I/OTCT-ND
U19;MCP601-SOT;MCP601T-I/OTCT-ND
U20;PQD6-D;102-2886-ND
U21;MS4525DO-DS;223-1110-ND
U22;74LS74;296-1079-1-ND
U23;TC1055;TC10553.3VCT713CT-ND
U24;NEO-M8;
